title,score,members,favorites
"Pyuu to Fuku! Jaguar: Ima, Fuki ni Yukimasu",6.78,476,1
Gakuen Basara,0.0,1740,3
Modern No.2,5.49,511,0
Ttoli Janggun,4.53,99,0
Taishou Mebiusline: Chicchai-san,4.71,7979,18
Osamu to Musashi,6.3,197,0
Adauchi Karasu,4.75,81,0
Nanatsu no Taizai: Imashime no Fukkatsu Joshou,7.33,27667,86
Tansu Warashi.,6.85,4390,0
Devilman: Tanjou-hen,7.2,13602,152
21 Emon Uchuu ike! Hadashi no Princess,6.04,353,10
Kakumeiki Valvrave Recaps,6.34,2347,1
Kyou kara Maou!,7.84,69454,1325
Dan Fumi no Ohanashi Channel,6.6,45,0
All That Gundam,5.81,3315,22
Usagi Drop Specials,8.05,45663,27
Tabi wa Michizure Yo wa Nasake,5.31,139,0
Hibi no Awa,5.34,78,1
Nanase Ren,6.3,4022,15
Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri,5.97,279,0
You Bishoujo Miruku-chan,5.02,645,1
Yowamushi Pedal: Re:ROAD,7.48,5094,6
Pokemon: Pikachu Koori no Daibouken,6.55,4188,3
Wonderful Rush,7.41,9113,17
Mudazumo Naki Kaikaku: The Legend of Koizumi,7.05,10093,20
Weiß Kreuz OVA,6.98,4577,24
Minami-ke Natsuyasumi,7.48,12212,4
Ling Qi 2,7.61,8970,51
Shin Kyojin no Hoshi II,6.61,225,0
Genki-kun no Oshougatsu @ Tokyo-eki,3.75,81,1
Inukami!,7.35,54044,216
Saboten ga Nikui,5.32,191,0
Mattsu to Yanma to Moburi-san: Nanatsu no Hihou to Soratobu Oshiro,5.36,326,0
Petit☆Dream Stars! Let&#039;s La Cooking? Showtime!,6.31,275,0
Dragon Ball Z Movie 15: Fukkatsu no F,7.4,66741,90
Reijou Caster: Ingyaku no Wana,5.52,969,1
Sockies: Frontier Quest,5.44,167,0
RahXephon Specials,6.62,2925,0
Haou Taikei Ryuu Knight: Adeu Legend,6.38,746,0
One Piece: Long Ring Long Land-hen,6.94,4386,18
Namaiki: Kissuisou e Youkoso! The Animation,7.23,6086,48
Yume Utsutsu,5.12,141,0
Ultraman Graffiti,5.12,209,0
Hamatora The Animation,7.4,178710,847
Dragon Quest: Abel Yuusha Densetsu,7.06,2734,13
Tamayura: Sotsugyou Shashin Part 1 - Kizashi,7.68,6077,4
Risu no Panache,5.16,116,0
Digimon Adventure tri. 4: Soushitsu,7.56,27924,114
Kisaku Spirit,6.3,1728,8
Aria The Animation,7.75,95917,1536
Juubee Ninpuuchou,7.66,70920,641
Hanaukyou Maid-tai OVA,6.78,7416,5
Harbor Light Monogatari: Fashion Lala yori,5.4,997,1
Dark,5.58,1632,8
Hana no Kakarichou,6.0,123,1
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,7.34,1478,1
Tenchi Muyou! in Love 2: Haruka Naru Omoi,7.27,11520,21
Sengoku Basara Movie: The Last Party,7.71,21317,75
Tokyo Tribe 2,6.89,6815,15
Uriko-hime to Amanojaku,4.36,131,0
Yuurei Yashiki,5.18,53,0
Hitori de Nayamanaide Issho ni Kangaeyou,4.82,112,1
"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",6.26,16307,22
Kagirohi: Shaku Kei - Another,6.64,1940,1
Dorami & Doraemons: Space Land&#039;s Critical Event,6.74,598,0
Stranger: Mukou Hadan Pilot,7.06,6867,22
Ongaku Shoujo,6.31,8309,6
MM! Specials,6.74,24869,17
Scoopers,5.66,460,0
Gibomai,6.71,4198,26
Crimson Girls: Chikan Shihai,6.53,4582,23
Ecchi na Shintai Sokutei Anime Edition,6.26,2090,9
"""Eikou Naki Tensai-tachi"" Kara no Monogatari",5.44,362,1
Sankarea OVA,7.34,66121,41
The Kabocha Wine,6.87,1322,5
Jinkou Shoujo: Henshin Sex Android,6.79,4151,25
Kanojo ga Mimai ni Konai Wake,6.44,3625,15
Garo Movie: Divine Flame,7.77,14410,18
Zhen Gyi Hong Shi,6.25,150,0
Ki-Fighter Taerang,5.94,118,0
Upotte!! OVA,6.55,11762,7
Kiki to Lala no Ohimesama ni Naritai,5.34,143,0
Omoide no Marnie,8.28,95955,910
Yoshinaga-san&#039;chi no Gargoyle Specials,6.45,966,1
Macross Δ,7.31,43576,294
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,7.41,10509,44
Marmalade Boy Movie,7.47,6613,23
Shin Hikari Shinwa: Palutena no Kagami,6.52,2370,2
Jumping,6.58,2908,5
Turning Mecard W: Black Mirror ui buhwal,4.0,69,0
Duel Masters Victory V,6.08,558,0
Yuu☆Yuu☆Hakusho: Eizou Hakusho II,7.48,7545,15
Gyakuten Saiban 6 Prologue,6.68,2108,3
Panda no Taputapu,6.0,176,0
"""Bungaku Shoujo"" Memoire",7.46,21328,27
Gaiking: Legend of Daiku-Maryu,7.26,3106,12
Mogitate Marina-chan,5.22,401,1
Shin Seiki Den Mars,5.79,720,1
Owari no Seraph: The Beginning of the End,7.15,23862,56
Dimension W Special,6.62,10823,6
Yousei Ou,5.68,712,0
Chivas 1-2-3,6.14,2337,2
Hidamari Sketch: Chou Hidamatsuri Special,6.66,1992,0
Sora no Otoshimono,7.57,292967,3569
Kiznaiver,7.59,323080,2528
"Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen",5.5,69,0
Fruits Version,5.45,382,1
xxxHOLiC Movie: Manatsu no Yoru no Yume,8.02,46878,92
Kono Bijutsubu ni wa Mondai ga Aru!,7.41,122248,345
Kimi ni Todoke 2nd Season Specials,7.4,28501,48
Star Fox Zero: The Battle Begins,6.29,2630,4
Shuukan Storyland,6.4,244,0
Saru Kani Gassen,4.49,139,0
"That&#039;s Hanakappa Musical: Pan to Gohan, Docchi nano!?",5.9,90,0
Ugokie Kori no Tatehiki,5.64,740,2
Ryuuzou to Shichinin no Kobun-tachi x Frogman,3.93,81,0
Monster Farm: Legend e no Michi,6.85,8939,6
The Embryo Develops into a Fetus,3.7,1043,3
Okama Hakusho,5.1,301,0
Dokonjou Gaeru,6.68,641,5
Ushio to Tora: Comically Deformed Theater,6.28,1913,2
Children Record,6.97,1735,3
Gun-dou Musashi Recap,4.75,300,0
Zero Seiki Movie 3: Maetel,0.0,594,0
Dokgotak: Taeyang-eul Hyanghae Deonjyeola,4.93,105,0
Wan Wan Chuushingura,5.95,409,0
Omoide no Album,5.04,248,0
Hanare Toride no Yonna,5.18,2007,3
Finder Series,6.7,11720,93
Shin Kabukichou Story Hana no Asukagumi!,5.41,206,0
Memories Off 3.5,6.4,2577,0
FLCL,8.07,406244,15941
Yin Yang Shi: Ping An Wu Yu,3.4,137,1
Sengoku Majin Goushougun (Movie),6.12,303,1
Meme Iroiro Yume no Tabi,6.51,411,1
Battle Spirits: Sword Eyes,6.98,1372,6
Iria: Zeiram The Animation,7.18,12719,67
Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa,7.9,6407,12
Midori no Kuni no Otomodachi: Koeda-chan,3.75,114,0
D.C.S.S: Da Capo Second Season Omake,6.76,5178,2
Asa made Jugyou Chu!,6.28,32141,62
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,6.22,394,0
Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,4.6,145,0
Stratos 4 Advance,6.93,2743,2
Forest Fairy Five,3.31,1880,2
Neko Funjatta,5.01,132,0
A-Channel,7.03,71676,283
Ojarumaru: Mangetsu Road Kiki Ippatsu - Tama ni wa Maro mo Daibouken,5.36,123,0
Ganbare! Lulu Lolo 3rd Season,6.3,156,0
Future Card Buddyfight Triple D,6.59,1614,5
Chibi Maruko-chan: Jishin wo Kangaeru,5.17,81,0
Otome Youkai Zakuro Picture Drama,6.42,3529,5
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,6.35,755,0
Shuang Yue Zhi Cheng,6.0,325,0
Zawazawa,4.55,371,0
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,7.38,3780,5
Onegai My Melody,7.12,4613,36
Bad End,5.45,1726,10
Elsword: El-ui Yeoin,6.39,16240,102
Seikimatsu Occult Gakuin,7.12,75621,177
Hidamari Sketch Recap,6.5,739,0
Mahou Shoujo Nante Mou Ii Desukara. Second Season,6.11,8702,4
Baka Misérables,5.58,240,0
One Piece: Yume no Soccer Ou!,7.28,27357,19
Meikoku Gakuen: Jutai-hen,7.09,3417,17
Nyamen,5.46,599,0
Akazukin to Kenkou,5.22,166,0
Jeonja Ingan 337,4.26,130,0
Kakusenou Gakushuu Animation,6.5,30,0
Osaru no Monkichi no Kin no Ono Gin no Ono,5.0,120,0
So Ra No Wo To Specials,7.6,19669,11
Tenchi Muyou!,7.52,47249,490
Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!,5.17,229,0
"Dance, Dance, Dance",5.95,521,0
Kizuna: Koi no kara Sawagi,6.88,4863,7
Kipling Jr.,5.56,367,0
Kansen 3: Shuto Houkai,6.58,3469,8
Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,5.67,122,0
Qin Shi Ming Yue: Junlin Tianxia,7.77,435,3
Clockwork Planet,6.59,92259,279
Nanatsu-iro★Drops,7.12,18085,97
Doraemon Movie 12: Nobita no Dorabian Nights,7.29,2674,0
Dream Festival!,6.9,8355,59
Neko Matsuri,5.85,258,0
Yume no Crayon Oukoku,7.07,1295,11
Nasu: Suitcase no Wataridori,7.21,2293,1
Oshaburi Announcer,6.88,2863,7
Croket!,7.12,480,5
Bishoujo Comic Lolicon Angel: Mitsu no Aji,5.69,1798,16
Hinomaru Tarou: Musha Shugyou no Maki,4.76,510,0
Seishain Cyborg 003,5.32,311,0
Umi no Triton,6.52,950,3
Tales of Zestiria the X: Saiyaku no Jidai,7.35,40524,17
Tengoku,4.48,44,0
Toaru Majutsu no Index III,0.0,29167,122
Happy Kappy Recap,5.37,233,0
Xiao Taiji,4.82,87,0
Warau Kangofu The Animation,6.81,3842,17
Diabolik Lovers Recap,5.48,14932,47
Ningen Doubutsuen,2.72,2411,1
Hanoka Recap,4.18,564,1
Inazuma Eleven: Saikyou Gundan Ogre Shuurai,7.46,10117,29
Kimi no Iru Machi OVA,7.17,12607,15
Golden Boy,8.04,155652,2331
Nangoku Shounen Papuwa-kun,6.39,524,0
Ghost in the Shell 2.0,8.08,64952,247
Hanasaka Jiisan,5.04,230,1
Spy Penguin (ONA): White Christmas,4.1,60,0
Lupin III: Otakara Henkyaku Daisakusen!!,7.49,3644,2
Godzilla: Kessen Kidou Zoushoku Toshi,0.0,8344,14
Jarinko Chie,7.21,1993,3
Minami Kamakura Koukou Joshi Jitenshabu,6.22,13163,8
Tsubasa: Tokyo Revelations,8.4,67171,830
Mune Kyun! Heartful Cafe,5.85,1380,2
Ekubo Ouji,6.33,77,0
Musekinin Galaxy☆Tylor,4.1,3914,1
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,6.58,3110,17
Baby Felix,5.54,319,0
K-On!!: Keikaku!,7.88,63802,141
Shishunki Shoujo,6.57,2350,10
YanYan Machiko,6.1,433,0
Sensou: Kodomo-tachi no Yuigon,6.75,43,0
Juusenki L-Gaim I: Pentagona Window + Lady Gyabure,5.74,529,0
Macademi Wasshoi!,7.05,33858,100
Peeping Life: The Perfect Extension Specials,4.54,141,0
Gall Force: Chikyuu Shou,6.39,1418,2
Kanokon: Manatsu no Dai Shanikusai,6.69,30425,20
Tokyo Babylon,6.8,13184,30
Muku Hatojuu no Meiken Monogatari,7.2,74,0
Mahoromatic 2,7.25,24285,41
Uchuu Senkan Yamato III,7.24,3396,7
Layton Mystery Tanteisha: Katri no Nazotoki File,7.15,7286,14
Trapp Ikka Monogatari Specials,6.63,211,0
Session High⤴,5.83,278,0
Super Titans 15,4.5,114,0
Kazama Mana,6.35,4044,31
Blue Dragon: Tenkai no Shichi Ryuu,6.69,9234,32
Ajisai no Uta,5.43,181,0
"Ima, Futari no Michi",5.81,438,0
The Four Seasons,6.37,1460,2
Cobalt World,6.55,1421,0
Qualidea Code,6.65,88196,175
Mouryou no Nie,6.3,2436,11
Ginga Sengoku Gunyuuden Rai,8.08,7354,51
Arisa☆Good Luck,5.72,253,1
Be-Boy Kidnapp&#039;n Idol,5.64,5446,9
Kuusen Madoushi Kouhosei no Kyoukan,6.58,126098,253
Cyborg 009 (1979),7.31,5087,20
Kuruneko Season 2,7.3,859,1
Doraemon Movie 16: Nobita no Sousei Nikki,7.18,1272,1
Memory (ONA),6.35,1846,1
Madonna,6.36,1060,3
Winter Sonata,7.49,16695,64
Haai Step Jun,6.35,540,2
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.46,2066,3
Injuu Kyoushi,5.71,1605,4
Hatsune Miku x Tetsuya Nomura,5.8,1964,9
Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.31,2754,7
Hakushaku to Yousei,7.42,77569,556
Youjo Senki,8.14,257541,3576
Cardfight!! Vanguard: Legion Mate-hen,7.04,8072,20
Sabu to Ichi Torimono Hikae,6.61,892,4
Hana Dorei,5.69,1208,4
Kumi to Tulip,6.09,1270,0
Anime Yasei no Sakebi,6.24,254,1
Muv-Luv Alternative: Total Eclipse,7.18,65752,297
Shoujo-tachi wa Kouya wo Mezasu,6.4,76641,127
Kyonyuu Fantasy,7.42,13291,289
Steins;Gate 0,9.15,223989,1882
Fullmetal Alchemist: The Sacred Star of Milos Specials,7.15,14719,15
Shingeki no Bahamut: Genesis Recap,6.29,9952,4
Fuku-chan,5.0,102,0
Higurashi no Naku Koro ni Special: Nekogoroshi-hen,7.29,52797,63
Megami Kouhosei Special Curriculum,6.42,3934,2
Yuusha-Ou GaoGaiGar Final,8.18,5988,134
Souya Monogatari,6.31,156,0
Kennosuke-sama,5.37,529,0
Kuro to Kin no Akanai Kagi.,5.79,6703,22
Sore Ike! Anpanman: Anpanman to Tanoshii Nakama-tachi,6.5,117,0
El Hazard: The Alternative World,6.91,8099,9
ZIP! x Peeping Life TV: Cool Japan Saizensen,4.45,133,0
High School DxD,7.62,587381,13007
Hiiro no Koku,5.37,828,5
K-On!,7.86,500389,13575
Sacred Seven,6.71,56338,70
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.91,249386,1216
Green Eyes: Ane Kyun! yori The Animation,6.83,3115,17
Shinmai Maou no Testament Burst Specials,7.16,10666,12
Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,6.68,2998,0
Harmonie,7.43,37162,120
3 Choume no Tama: Uchi no Tama Shirimasenka?,6.72,1243,6
Ichigo 100% Special 2,6.97,14738,8
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,7.26,17897,4
Catman Series II,6.38,872,1
Shokugeki no Souma: Ni no Sara,8.46,392336,2322
Birthday Boy,6.09,1342,2
Buddha Saitan,6.05,4621,3
Ousama Monogatari,5.13,154,0
Plunderer,0.0,1087,1
Okusama ga Seitokaichou!,6.84,140092,254
Oishinbo: Nichibei Kome Sensou,6.11,275,0
Hotori: Tada Saiwai wo Koinegau,7.08,4307,8
Date A Live Movie: Mayuri Judgment,7.53,79547,309
MiniGARO,3.92,102,0
Blood Lad: Wagahai wa Neko de wa Nai,7.28,64098,51
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.46,1694,4
Dororo,0.0,1426,0
To Heart 2,6.6,15606,34
Pinkerton,6.82,3474,14
Dochinpira,5.04,574,1
Mach GoGoGo (1997),6.39,1997,3
Saikyou Robot Daiouja,6.49,323,0
Akatsuki no Yona,8.19,339298,8088
Oshiri Kajiri Mushi (TV),5.28,1021,1
Uchuu Kuubo Blue Noah,6.73,920,1
Oretacha Youkai Ningen G,4.08,195,1
Kaitou Pride,6.88,118,0
Uchuu Senkan Tiramisù,6.08,11972,7
Fukubiki! Triangle: Futaba wa Atafuta ♥,6.8,4240,13
D.I.C.E.,6.36,3227,24
Hello Kitty no Fushigi no Kuni no Alice,6.08,329,0
Monoshiri Daigaku: Ashita no Calendar,6.42,211,0
Oshare Majo Love and Berry: Shiawase no Mahou,5.74,480,0
Ginga Hyouryuu Vifam,7.25,1866,12
Sushi Ninja,5.64,403,0
Choukou Sennin Haruka,6.2,4511,12
Rouge: Lady&#039;s Comic Video,5.9,275,0
Itsudatte My Santa!,6.11,9571,10
Makai Senki Disgaea,6.85,34064,157
Gunsmith Cats,7.27,20390,119
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku Kara Picture Drama,7.02,4455,7
Koukaku no Pandora: Pandoradio,5.9,592,0
Niji ni Mukatte,5.87,196,0
Pygmalio,6.87,726,2
Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,6.66,2684,2
Girls & Panzer,7.65,147291,2638
Kizuna (Special),5.8,539,1
Rakudai Kishi no Cavalry,7.75,336877,4087
Hei Mao Jing Zhang,5.5,137,0
Honoo no Haramase Doukyuusei,6.84,4775,16
MonHun Nikki Girigiri Airou Mura G,6.24,382,0
Touch: Sebangou no Nai Ace,6.97,1350,0
Detective Conan Movie 20: The Darkest Nightmare,8.3,14475,58
Koishite!! Namashi-chan,6.0,151,0
Musuko no Tomodachi ni Okasarete,6.47,2570,10
Dae Jang Geum: Jang Geum&#039;s Dream 2,7.14,678,3
Fushigiboshi no☆Futagohime,7.39,6448,66
Ura Tegamibachi,7.05,3874,2
Arei no Kagami: Way to the Virgin Space,5.93,751,0
Youkou no Ken,6.33,2210,10
Nourin,6.94,100751,163
Tenkuu Senki Shurato: Sousei e no Anto,6.71,1160,0
Action Heroine Cheer Fruits,6.57,8435,11
Mushishi Special: Hihamukage,8.64,67787,100
Master Mosquiton &#039;99,6.67,2752,5
Sugar Bunnies Chocolate!,6.75,281,1
Pikotarou no Lullaby Lullaby (TV),5.62,3094,6
Isekai Cheat Magician,0.0,214,0
Macross Δ: Delta Shougekijou,6.25,1033,2
s.CRY.ed,7.43,60651,600
Makura no Danshi: Sono Ato no Makura no Danshi,5.08,1857,0
Furusato no Nai Aki,4.0,31,0
Angel,5.44,1320,2
NoisyCell x Ponkotsu Quest,4.22,149,0
Onegai☆Twins: Natsu wa Owaranai,7.11,24504,10
Ohayo! Spank,6.69,1280,1
Power Dolls,5.51,1162,1
Mayonaka wa Junketsu,5.54,234,0
Joleobban,4.45,211,0
Princess Sara,7.81,10271,53
Hana to Hebi The Animation,6.0,1781,9
Otoppe,3.25,69,0
Haedori Daemoheom,4.83,89,0
Brave Beats,6.63,2898,17
Ie Naki Ko (Movie),6.7,616,0
Di Gi Charat Ohanami Special,6.8,1778,1
Shining Hearts: Shiawase no Pan Specials,6.07,1802,1
Akai Boushi,5.44,454,0
Soukou Kijo Iris Special,6.28,1498,1
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.28,26240,27
The Adventures of Hello Kitty & Friends,5.99,216,0
Koi Tsubomi,6.45,1445,3
Futago no Ookami Daibouken,5.2,127,0
Maid of the Dead,4.06,2246,1
Chainsaw Maid,5.08,3215,3
Suki Desu Suzuki-kun!!,6.06,4042,7
Tenchi Muyou! Manatsu no Eve,7.2,11695,13
Sword Art Online,7.64,1301616,50042
Shingeki no Bahamut: Virgin Soul,7.56,123155,509
Pororo Hanguk-e Wass-eoyo,4.75,103,0
Saiyuuki: Son Gokuu Monogatari,6.09,752,1
Anime Koten Bungaku Kan,5.21,118,1
Sora no Momotarou,5.24,695,0
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,7.44,2506,4
Dore Dore no Uta,5.94,1980,1
Towa no Quon 2: Konton no Ranbu,7.49,25265,14
Suika: Manatsu no Okurimono,5.97,1226,0
Umacha,5.02,1139,1
Sword Art Online Movie: Ordinal Scale,8.09,226795,2218
Kiniro Mosaic,7.36,106569,666
Suzu 3 Tarou,6.22,77,0
Ganbare! Bokura no Hit and Run,5.84,144,0
Kamen no Ninja Akakage,6.53,315,0
Asience: Kami wa Onna no Inochi,6.34,4036,1
To Heart: Remember My Memories,6.52,6462,4
Yamaguchi Sanchi no Tsutomu-kun,5.21,144,0
Pokemon Generations,7.57,15444,57
Bakuman. 3rd Season Specials,7.13,9592,14
Kakushigoto,5.84,675,1
Pretty Rhythm: Aurora Dream - Prism Shougekijou,6.95,1607,6
Judo Sanka,6.89,204,0
Ryoujoku no Machi: Kyouen no Ceremony,5.63,1783,7
Bio Hunter,6.05,7248,4
The Gift,5.18,61,0
Noragami,8.15,846498,18501
Doraemon Anniversary 25,6.76,97,0
Flying Witch Petit,5.99,10213,8
Edokko Boy: Gatten Tasuke,6.11,244,0
Hayate no Gotoku!,7.69,153958,1584
Photon,7.17,9395,38
Taishou Yakyuu Musume. Specials,6.28,1061,1
Hokuto no Ken: Toki-den,7.45,4819,8
Oppai Infinity∞! The Animation,6.55,2645,9
Visions of Frank: Short Films by Japan&#039;s Most Audacious Animators,5.97,365,0
Xiyue Qi Tong (2006),5.08,80,0
Gon,6.01,1057,4
Porong Porong Pororo,6.27,270,0
Damen&#039;s Walker,6.18,185,0
Honoo no Mirage: Minagiwa no Hangyakusha,7.05,7188,25
Little Twins: Bokura no Natsu ga Tondeiku,6.31,95,0
Kami nomi zo Shiru Sekai: Flag 0,6.98,42794,55
Ore wa Chokkaku,6.75,160,0
Donyatsu Specials,5.8,328,0
Otoko Doahou! Koushien,7.13,154,0
Rinne no Lagrange,6.99,48021,92
Tottoko Hamtarou: Anime Dechu!,6.33,318,0
To LOVE-Ru Darkness 2nd OVA,7.77,35932,92
Tokyo Mew Mew,7.04,83799,1058
Touch 2: Sayonara no Okurimono,6.87,1274,1
Pro Golfer Saru: Super Golf World e no Chousen!!,5.13,89,0
Chouriki Robo Galatt,6.72,254,0
Ro-Kyu-Bu! SS,7.25,26007,48
Crayon Shin-chan Gaiden: Kazokuzure Ookami,6.7,478,0
Aggressive Retsuko,7.66,16774,99
Koneko no Chii: Ponponra Daibouken,6.89,5026,14
Kakuriyo no Yadomeshi,7.15,31852,139
The Epic Of ZektBach,5.93,3059,1
Kiss Shite Hoshii,5.21,80,0
Ai Yori Aoshi: Enishi - Miyuki,7.02,14026,16
Haitoku no Shoujo,5.85,2100,7
Hashire Melos (Movie),7.02,2897,6
Air in Summer,7.42,32321,41
Minna no Okayama-ken,4.33,70,0
Amagami SS OVA,7.34,37170,36
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,7.27,230062,1356
Ultraman Kids: Haha wo Tazunete 3000-man Kounen,6.55,269,3
Tonari no Tokoro,6.62,161,0
Nisoku Hokou,6.68,1352,1
Ochame na Futago: Claire Gakuin Monogatari,7.12,1532,4
The Satisfaction,5.01,282,0
UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku,7.08,7099,14
"Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?",5.17,187,0
Ginga Tetsudou 999: Eternal Fantasy,6.77,2463,3
Rewrite,6.81,121199,458
Nejimaki Seirei Senki: Tenkyou no Alderamin,7.89,155865,767
Sabaku no Kuni no Oujosama,5.0,120,0
Peeping Life: The Perfect Emotion Special,5.29,303,0
Macross 25th Anniversary: All That VF Macross Zero Version,6.43,2387,2
Gate Keepers 21,6.87,8183,21
Mobile Suit SD Gundam Mk V,5.85,1579,0
Maison Ikkoku: Prelude - Meguru Haru no Sakura no you ni...,6.95,2140,2
Ku Pao Ying Xiong,6.0,2252,6
Train Heroes,5.75,230,1
Cartagra: Tsuki Gurui no Yamai,5.97,2434,5
Kyoukaisenjou no Horizon,7.23,116384,748
Pugyuru,5.83,3104,9
Pingu in the City,8.66,21890,634
Zombie Clay Animation: Life of the Dead,4.92,187,1
Natsuki Crisis,6.25,1562,0
City Hunter &#039;91,7.89,8471,21
PriPara,7.62,11138,214
Pan de Peace!,5.61,22769,25
Last Exile: Ginyoku no Fam Recaps,6.53,5143,1
Kishin Douji Zenki,7.07,7293,19
Pet,0.0,558,0
Saint Luminous Jogakuin,6.13,1980,3
Pokemon: Mewtwo - Kakusei e no Prologue,6.83,5328,4
Black Jack ONA,6.74,1675,0
Choujin Locke,6.57,1738,10
Yunyun☆Paradise,5.74,888,4
Bakusou Circuit Roman Twin,5.44,192,0
Mobile Suit Zeta Gundam,8.02,37363,1191
"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",6.22,703,1
Fighting of Ecstasy,5.84,2470,7
MAFF x Chobitto Zukan,3.29,76,0
Flag Director&#039;s Edition: Issenman no Kufura no Kiroku,6.92,1139,1
Zoids Shinseiki/Zero,7.43,19335,118
Majutsushi Orphen,7.27,24051,150
Five Fire Fish,4.79,137,0
eX-Driver,6.84,6486,30
Sore Ike! Anpanman: Hashire! Wakuwaku Anpanman Grand Prix,5.67,113,0
Hello Kitty to Miyou: Aesop Monogatari,4.88,111,0
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.45,113601,403
Ai Shoujo Pollyanna Story Specials,6.19,257,1
Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,7.43,28672,42
Everyday Affair,5.15,74,0
Mr. Shape,4.82,86,0
Benkei tai Ushiwaka,5.28,596,1
Hakodate Musical,3.4,32,0
Tamako Love Story,8.1,123327,970
Final Approach,6.64,27746,43
Ryoujoku Hitozuma Onsen,6.64,2660,10
Saikin Ponta,5.82,102,0
Kirin no Otenki Mama-san,4.92,173,0
Tantei Team KZ Jiken Note,6.26,11039,17
Kidou Shin Seiki Gundam X,7.38,22459,160
Taiyou no Mokushiroku: A Spirit of the Sun,7.05,1793,2
Mabeobsaui Adeul Koli,4.67,71,0
Tokubetsu Jugyou 2,5.81,1517,0
Saint Seiya: Gold Saints Data File,6.49,658,1
Fate/Zero,8.44,666060,21019
Kaito x Ansa,5.15,2970,3
Urikupen Kyuujo-tai,5.77,198,0
Sore Ike! Anpanman: Keito no Shiro no Christmas,6.27,114,0
Rebirth Moon Divergence,4.22,429,0
Windy,4.94,64,0
Ahiru no Pekkle no Suieitaikai wa Oosawagi,5.9,209,0
Dr.,6.23,1876,0
Kimi no Iru Machi: Tasogare Kousaten,7.3,30448,60
Ojiisan no Lamp,7.65,14279,15
Hakuouki Hekketsuroku,7.73,60051,513
Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,6.42,346,3
Kingsglaive: Final Fantasy XV,7.65,32740,116
Cofun Gal no Coffy (TV) Specials,4.8,51,0
Azarashi Tama-chan no Hi no Youjin,4.71,75,0
Mahou Gakuen Lunar! Aoi Ryuu no Himitsu,6.12,930,3
Kinnikuman,7.34,5242,45
Sore Ike! Anpanman: Kokin-chan to Namida no Christmas,5.32,113,0
King of Prism by Pretty Rhythm,6.25,4433,20
Dorami-chan: Hello Kyouryuu Kids!!,5.85,182,0
Hello Kitty no Shoukoujo,6.33,142,0
Sangokushi Dainibu Choukou Moyu,6.93,252,0
Kyoto Animation: Hoshi-hen,5.76,2817,0
Heart no Kuni no Alice: Wonderful Wonder World,6.22,23539,127
Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,6.64,238,0
Gitai Saimin,6.06,2058,1
Mahoujin Guruguru,7.73,6607,59
Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,6.79,2668,5
Mon Cheri CoCo,7.06,261,0
Shin Mashin Eiyuuden Wataru Majinzan,6.42,291,0
Tokyo Ravens,7.73,243644,1578
Sinbad: Soratobu Hime to Himitsu no Shima,6.4,1240,0
Kishibe Rohan wa Ugokanai,7.38,15155,21
Super Majingga 3,4.95,196,0
Samurai Champloo,8.5,544112,19501
D4 Princess,6.11,1826,3
Doraemon Movie 36: Shin Nobita no Nippon Tanjou,7.41,894,1
