title,type,source,episodes,airing,studio
Ginga Densetsu Weed,TV,Manga,26,False,Studio Deen
Yuuguu Settai: Kotou no Gokuraku e Youkoso,OVA,Visual novel,2,False,
Sore Ike! Anpanman: Anpanman to Yukai na Nakama-tachi,Movie,Unknown,1,False,
Gasaraki,TV,Original,25,False,Sunrise
Uchouten Kazoku,TV,Novel,13,False,P.A. Works
Onna Spy Goumon: Teki no Ajito wa Jotai Goumonsho,OVA,Unknown,1,False,
Compiler Festa,OVA,Unknown,1,False,
Gintama: Shiroyasha Koutan,Special,Manga,1,False,Sunrise
Puttsun Make Love,OVA,Unknown,6,False,
Kodomo no Omocha,OVA,Manga,1,False,J.C.Staff
Manga Doushite Monogatari,TV,Unknown,100,False,
Stereo,Music,Original,0,True,
Show By Rock!! #,TV,Game,12,False,Bones
Ryuusei no Rockman Tribe,TV,Unknown,21,False,Xebec
Jitensha-hen,Music,Music,1,False,
3-tsu no Hanashi,Special,Other,1,False,
Needless Specials,Special,Unknown,12,False,Madhouse
Mayoi Neko Overrun!,TV,Light novel,13,False,AIC
Running Boy: Star Soldier no Himitsu,Movie,Unknown,1,False,
Heya,Movie,Original,1,False,
Cluster Edge,TV,Original,25,False,Sunrise
Tanaami Keiichi no Shouzou,Movie,Original,1,False,
UG☆Ultimate Girls,TV,Unknown,12,False,Studio Matrix
Hai! Akko Desu,TV,Unknown,164,False,Eiken
Steins;Gate 0 OVA,Special,Visual novel,1,False,
Pokemon Ranger: Hikari no Kiseki,Special,Game,2,False,OLM
Gokujou!! Mecha Mote Iinchou Second Collection,TV,Manga,51,False,SynergySP
SKET Dance OVA,OVA,Manga,1,False,Tatsunoko Production
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie,Manga,1,False,Studio 4°C
Lu Shidai 2nd Season,ONA,Original,13,False,
Freely Tomorrow,Music,Unknown,1,False,
Within the Bloody Woods,ONA,Unknown,2,False,
Orange: Mirai,Movie,Manga,1,False,Telecom Animation Film
Detective Conan Movie 03: The Last Wizard of the Century,Movie,Manga,1,False,TMS Entertainment
Tamagotchi!,TV,Game,143,False,OLM Digital
Fate/Prototype,OVA,Original,1,False,Lerche
Karadasagashi,ONA,Manga,10,False,Studio Khronos
The iDOLM@STER Cinderella Girls: Special Program,Special,Unknown,1,False,A-1 Pictures
Angel Densetsu,OVA,Manga,2,False,Toei Animation
Memory of Red,Movie,Original,1,False,
Yamada-kun to 7-nin no Majo (OVA),OVA,Manga,2,False,LIDENFILMS
Puzzle & Dragons Cross,TV,Game,89,False,Studio Pierrot
Yoiko,TV,Manga,20,False,Studio Pierrot
Teekyuu 5,TV,Manga,12,False,Millepensee
Mobile Suit Gundam Unicorn: One of Seventy Two,Special,Novel,1,False,Sunrise
Ghost in the Shell: Stand Alone Complex - Tachikoma na Hibi (TV),TV,Manga,12,False,Production I.G
Ninja Hattori-kun Plus Perman: Chounouryoku Wars,Movie,Unknown,1,False,Shin-Ei Animation
Souten Kouro,TV,Manga,26,False,Madhouse
Stretta The Animation,OVA,Manga,2,False,
Shenmi Shijie Lixian Ji 2,Movie,Original,1,False,
Hello Kitty no Alps no Shoujo Heidi,OVA,Unknown,1,False,
Koro no Dai Sanpo,Special,Original,1,False,Studio Ghibli
Soushin Shoujo Matoi: Kabushiki Gaisha Knight Busters,Special,Original,1,False,White Fox
Daiakuji: The Xena Buster,OVA,Visual novel,6,False,
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desukara,OVA,Manga,1,False,J.C.Staff
Choujin Densetsu Urotsukidouji 5: Kanketsu-hen,OVA,Unknown,1,False,
Kanai,ONA,Unknown,1,False,
Chocotto Sister,TV,Manga,24,False,Nomad
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special,Special,Unknown,1,False,Seven
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars Special,Special,Novel,1,False,KAGAYA Studio
Arslan Senki (TV): Fuujin Ranbu - 4-koma Gekijou,Special,Manga,4,False,LIDENFILMS
Nameless,Music,Original,1,False,
Ogami Matsugorou,OVA,Unknown,1,False,
Maria-sama ga Miteru 3rd Specials,Special,Light novel,5,False,Studio Deen
"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo",ONA,Unknown,1,False,AIC A.S.T.A.
Choegang Top Plate,TV,Original,26,False,
Ranma ½ Specials,OVA,Manga,2,False,Gainax
Aruite Mikka!,Music,Original,1,False,Polygon Pictures
Hakaima Sadamitsu,TV,Manga,10,False,Studio Deen
Gekisou! Rubenkaiser,TV,Unknown,17,False,Toei Animation
Line Rangers,ONA,Game,0,True,
Maki-chan to Now.,OVA,Visual novel,4,False,Collaboration Works
Old City Ward,Music,Unknown,1,False,
Haikara-san ga Tooru Movie 2: Tokyo Dai Roman,Movie,Manga,1,False,Nippon Animation
Himitsu no Akko-chan 3,TV,Unknown,44,False,Toei Animation
Norakuro Shoui: Nichiyoubi no Kaijiken,Movie,Manga,1,False,
Project A-Ko 2: Daitokuji Zaibatsu no Inbou,OVA,Original,1,False,APPP
Miracle Giants Doumu-kun Special,Special,Unknown,1,False,
Nana Maru San Batsu,TV,Manga,12,False,TMS Entertainment
Escaflowne,Movie,Original,1,False,Bones
Ghost Messenger Movie,Movie,Unknown,1,False,Studio Animal
Ginga Tetsudou 999,TV,Manga,113,False,Toei Animation
Ishii Hisaichi no Nanda Kanda Gekijou,OVA,Unknown,2,False,
Zero Tester,TV,Original,38,False,Sunrise
"Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii...",Movie,Unknown,1,False,
himitsukesshatakanotsume.jp,ONA,Unknown,78,False,DLE
Makyuu Senjou,OVA,Unknown,2,False,
Full Moon wo Sagashite: Kawaii Kawaii Daibouken,Special,Manga,1,False,Studio Deen
Doubutsu Mura no Sports Day,Movie,Original,1,False,
Survival,Music,Unknown,1,False,Studio 4°C
Gurazeni,TV,Manga,0,True,Studio Deen
Yoroiden Samurai Troopers Gaiden,OVA,Unknown,2,False,Sunrise
Be Blues! Ao ni Nare,ONA,Manga,1,False,
Bohemian Rhapsody,Music,Manga,1,False,
Shibawanko no Wa no Kokoro,TV,Unknown,80,False,Three-d
Miira no Kaikata,TV,Web manga,12,False,8bit
Na Sa Er Ding,TV,Original,50,False,
Spy Penguin,OVA,Original,5,False,Next Media Animation
Himitsukessha Taka no Tsume Specials,Special,Original,4,False,DLE
Jewelpet Happiness,TV,Original,52,False,Studio Comet
Kuroi Ame ni Utarete,Movie,Manga,1,False,
"Boku no Imouto wa ""Osaka Okan"": Haishin Gentei Osaka Okan.",ONA,Original,1,False,Charaction
Fate/kaleid liner Prisma☆Illya 3rei!!,TV,Manga,12,False,Silver Link.
Tottoko Hamtarou Movie 3: Ham Ham Grand Prix Aurora Tani no Kiseki - Ribon-chan Kiki Ippatsu!,Movie,Unknown,1,False,TMS Entertainment
Fairy Tail x Rave,OVA,Manga,1,False,Satelight
Getter Robo Go,TV,Unknown,50,False,Toei Animation
Crayon Shin-chan Movie 04: Henderland no Daibouken,Movie,Manga,1,False,
Magi: The Kingdom of Magic,TV,Manga,25,False,A-1 Pictures
Anokoro no Namida wa,Music,Original,1,False,
Elf no Futagohime: Willan to Arsura,OVA,Visual novel,1,False,T-Rex
Furueru Kuchibiru Episode 0,OVA,Manga,1,False,
Sango Shou Densetsu: Aoi Umi no Elfie,Movie,Unknown,1,False,Nippon Animation
Kotencotenco,TV,Unknown,52,False,
Stop!! Hibari-kun!,TV,Manga,35,False,Toei Animation
Daraku: Onna Kyoushi Hakai,OVA,Unknown,3,False,
Versailles no Bara,TV,Manga,40,False,Tokyo Movie Shinsha
Itoshi no Muco,TV,Manga,25,False,DLE
Pokemon XY SP: Road to Kalos,Special,Unknown,1,False,OLM
Black Blood Brothers,TV,Light novel,12,False,Group TAC
Fireball,TV,Unknown,13,False,Jinnis Animation Studios
Boruto: Naruto the Movie,Movie,Manga,1,False,Studio Pierrot
Super Short Comics,ONA,Web manga,8,False,Steve N&#039; Steven
Qin Shi Ming Yue: Kong Shan Niao Yu,ONA,Novel,3,False,Sparkly Key Animation Studio
Backstage Idol Story,TV,Unknown,8,False,
Ao no Doumon,OVA,Unknown,1,False,
Plus 50000-nen,Movie,Original,1,False,
Chibi☆Devi!,TV,Manga,75,False,SynergySP
Chogattai Majutsu Robot Ginguiser Specials,Special,Unknown,2,False,Nippon Animation
Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,Special,Unknown,1,False,
Alice in Deadly School,TV,4-koma manga,0,False,
Offside (TV),TV,Manga,39,False,Ashi Production
Injuu Kateikyoushi,OVA,Unknown,1,False,
Soukihei MD Geist,OVA,Unknown,1,False,Zero-G Room
Oyakodon: Oppai Tokumori Bonyuu Tsuyudaku de,OVA,Original,1,False,
Mazinger Z tai Ankoku Daishougun,Movie,Unknown,1,False,
Genki Bakuhatsu Ganbaruger,TV,Original,47,False,Sunrise
Attacker You!,TV,Manga,58,False,Shaft
Gabriel DropOut,TV,Manga,12,False,Doga Kobo
Muka Muka Paradise,TV,Unknown,51,False,Nippon Animation
Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation,ONA,Unknown,1,False,OLM
Hakuouki OVA,OVA,Visual novel,2,False,Studio Deen
Ikkyuu Nyuukon,OVA,Manga,3,False,
Wotaku ni Koi wa Muzukashii,TV,Web manga,11,True,A-1 Pictures
Sakura Taisen: Ouka Kenran,OVA,Game,4,False,Madhouse
Aterui,Movie,Unknown,1,False,
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,Special,Original,1,False,Bones
Sen to Chihiro no Kamikakushi,Movie,Original,1,False,Studio Ghibli
Captain Tsubasa,TV,Manga,128,False,Tsuchida Productions
Qi Cai Lao Fu Zi,Movie,Unknown,1,False,
Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan,Special,Unknown,1,False,
Nobunaga the Fool,TV,Other,24,False,Satelight
BlazBlue: Alter Memory,TV,Game,12,False,Hoods Entertainment
Ghost in the Shell: Arise - Border:2 Ghost Whispers,Movie,Manga,1,False,Production I.G
Dengeki Bunko 2007 Movie Festival Special,Special,Unknown,1,False,
Kakyuusei,OVA,Visual novel,4,False,
Crash!,Special,Manga,3,False,
Explorer Woman Ray,OVA,Unknown,2,False,
Washimo 3rd Season,TV,Picture book,44,False,Studio Deen
Ichigo Mashimaro,TV,4-koma manga,12,False,Daume
Kuroko no Basket: Saikou no Present Desu,Special,Manga,1,False,Production I.G
Binan Koukou Chikyuu Boueibu Happy Kiss!,TV,Original,0,True,Studio Comet
Kamiusagi Rope 3 (ONA),ONA,Original,2,False,
Pokemon: Celebi Toki wo Koeta Deai,Movie,Game,1,False,OLM
M.E.M.: Yogosareta Junketsu,OVA,Unknown,2,False,
Boku wa Sugu ni Nigetanda: Higashi Nihon Daishinsai kara Mananda Koto,OVA,Unknown,1,False,
12-sai. 2nd Season,OVA,Manga,4,False,SynergySP
Triangle Blue,OVA,Visual novel,2,False,PoRO
Pokemon Crystal: Raikou Ikazuchi no Densetsu,Special,Game,1,False,OLM
DNA² OVA,OVA,Manga,3,False,Madhouse
Hulu Xiongdi,TV,Unknown,13,False,
Pacusi no Uta,Special,Unknown,1,False,
"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito",OVA,Light novel,1,False,Studio Gokumi
Joseito,OVA,Unknown,1,False,Toei Animation
Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,OVA,Visual novel,4,False,Collaboration Works
Porong Porong Pororo 4,TV,Unknown,26,False,
Futari wa 80-sai,Music,Music,1,False,
Vampire,OVA,Original,2,False,Y.O.U.C
Comic Party Revolution,TV,Visual novel,13,False,Radix
Onegai My Melody Sukkiri♪,TV,Unknown,52,False,Studio Comet
Mugen Senshi Valis,Special,Game,1,False,Sunrise
Aiura,TV,4-koma manga,12,False,LIDENFILMS
Mission School,Music,Unknown,1,False,
Datenshi-tachi no Kyouen,OVA,Unknown,1,False,
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special,Visual novel,1,False,Kyoto Animation
Meitantei Conan: Kodai Kyouryuu no Nazo ni Semare!,OVA,Unknown,1,False,
Houma Hunter Lime,OVA,Visual novel,3,False,Production Reed
Gun Frontier,TV,Manga,13,False,Echo
Miss Monochrome: The Animation 2,TV,Original,13,False,SANZIGEN
Kimi ga Nozomu Eien: Gundam Parody,Special,Unknown,1,False,
Touken Ranbu: Hanamaru - Makuai Kaisouroku,Movie,Card game,1,False,Doga Kobo
Ghost in the Shell (2015),Movie,Manga,1,False,Production I.G
Puchitto Gargantia Special,Special,Unknown,1,False,Production I.G
Hibike! Euphonium: Suisougaku-bu no Nichijou,Special,Original,7,False,Kyoto Animation
Neo Angelique Abyss,TV,Visual novel,13,False,Yumeta Company
Anitore! XX: Hitotsu Yane no Shita de,TV,Original,12,False,Rising Force
Kiriya Hakushaku Ke no Roku Shimai,OVA,Visual novel,2,False,G-Lam
Ame-iro Cocoa,TV,Digital manga,12,False,EMT²
Chounouryoku Shoujo Barabanba,OVA,Unknown,1,False,
Hoshi Neko Fullhouse,OVA,Original,4,False,Artland
.hack//Intermezzo,Special,Original,1,False,Bee Train
Souten no Ken Specials,Special,Unknown,4,False,
Initial D Battle Stage 2,OVA,Manga,1,False,A.C.G.T.
Wamono,Music,Unknown,1,False,
Kagaku Bouken-tai Tansar 5,TV,Unknown,34,False,Sunrise
Nagasaki no Kouma,Movie,Unknown,1,False,
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,Movie,Manga,1,False,Toei Animation
Ai no Senshi Rainbowman,TV,Other,22,False,
Blood-C,TV,Manga,12,False,Production I.G
Cardfight!! Vanguard G: Stride Gate-hen,TV,Original,24,False,TMS Entertainment
Mobile Suit Gundam-san,TV,4-koma manga,13,False,Sunrise
Hibike! Euphonium: Kakedasu Monaka,Special,Novel,1,False,Kyoto Animation
Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi,ONA,Unknown,5,False,Toei Animation
21 Emon,TV,Unknown,39,False,Shin-Ei Animation
Suki da yo!,OVA,Visual novel,2,False,
Hello Kitty no Alps no Shoujo Heidi II: Klara to no Deai,OVA,Unknown,1,False,
Tsuki ga Kirei Special,Special,Original,1,False,feel.
Chinyuuki: Tarou to Yukai na Nakama-tachi,OVA,Unknown,3,False,
Peeping Life: Gekijou Original-ban,Movie,Original,5,False,
Kuzu no Honkai,TV,Manga,12,False,Lerche
Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,Movie,Unknown,1,False,Madhouse
Macross: Do You Remember Love?,Movie,Original,1,False,Artland
Picchipichi Shizuku-chan,TV,Unknown,52,False,
Miraesonyeon Kunta Beomyuda 5000 Nyeon,Movie,Unknown,1,False,
Kurumiwari Ningyou,Movie,Unknown,1,False,
Kick Off 2002,TV,Game,26,False,
Kono Sekai no Katasumi ni,Movie,Manga,1,False,MAPPA
Nijiiro Hotaru: Eien no Natsuyasumi,Movie,Novel,1,False,Toei Animation
Mameshiba Bangai-hen,Special,Original,4,False,
Ramen Tenshi Pretty Menma,Special,Unknown,1,False,Arms
Toushinden,OVA,Game,2,False,J.C.Staff
Shuffle! Memories,TV,Visual novel,12,False,Asread
Ashita e Attack!,TV,Original,23,False,Nippon Animation
Heya/Keitai,Movie,Original,1,False,
Computer Haekjeonham Pokpa Daejakjeon,Movie,Unknown,1,False,
Momotarou no Hi Asobi Yameyou! Hi no Youjin,OVA,Unknown,1,False,
Pecola,TV,Unknown,26,False,
Imouto,OVA,Original,1,False,Y.O.U.C
Sakura Taisen: Le Nouveau Paris,OVA,Unknown,3,False,
Kono Shihai kara no Sotsugyou: Ozaki Yutaka,OVA,Unknown,1,False,Toei Animation
Yowamushi Pedal: Re:RIDE,Movie,Manga,1,False,TMS Entertainment
Shintaisou: Shin,OVA,Visual novel,2,False,AT-2
Demonion: Gaiden,OVA,Visual novel,2,False,BreakBottle
Short Peace Opening,Special,Original,1,False,Sunrise
Stratos 4,TV,Original,13,False,Studio Fantasia
Anitore! EX: Jigoku no Training,Special,Original,5,False,Rising Force
Kinnikuman: Seigi Choujin vs. Kodai Choujin,Movie,Unknown,1,False,Toei Animation
Kekkou Kamen,OVA,Manga,4,False,
Midori-ko,Movie,Original,1,False,
Time Bokan Oudou Fukko,OVA,Unknown,2,False,Tatsunoko Production
Meiji Tokyo Renka,TV,Game,0,False,TMS Entertainment
Toukiden: The Age of Demons - Introduction,Special,Unknown,1,False,Studio 4°C
Shisei Sasshin,Movie,Original,1,False,
Metal Fighter Miku,TV,Original,13,False,J.C.Staff
PS3® no Tsukai Kata: feat.Peeping Life,OVA,Original,6,False,
Metal Fight Beyblade 4D,TV,Manga,52,False,SynergySP
Enbi,OVA,Manga,2,False,
RPG Densetsu Hepoi,TV,Unknown,50,False,Studio Gallop
Yarimoku Beach ni Shuugakuryokou de!! The Animation,OVA,Manga,1,False,Seven
Revenge of Green Mutant,Music,Music,1,False,
Akai Koudan Zillion Specials,Special,Unknown,3,False,Production I.G
Genmukan,OVA,Visual novel,2,False,
UN-GO: Inga Nikki,ONA,Original,10,False,Bones
God Eater Reso Nantoka Gekijou Episode 0,ONA,Game,1,False,
Sumomomo Momomo: Chijou Saikyou no Yome Specials,Special,Manga,2,False,Studio Hibari
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,Movie,Original,1,False,Toei Animation
Marginal#4: Kiss kara Tsukuru Big Bang,TV,Music,12,False,J.C.Staff
11eyes Picture Drama,Special,Visual novel,13,False,Doga Kobo
Monster Strike: Rain of Memories,ONA,Game,1,False,
Haikyuu!! Movie 2: Shousha to Haisha,Movie,Manga,1,False,Production I.G
Winter Sonata Episode 0,Special,Other,1,False,Studio Comet
Hua Jiang Hu Zhi Bu Liang Ren,ONA,Original,54,False,
Saint Seiya Recap,Special,Unknown,1,False,Toei Animation
Gochuumon wa Usagi desu ka??: Dear My Sister,Movie,4-koma manga,1,False,production doA
Wooser no Sono Higurashi: Kakusei-hen,TV,Web manga,12,False,SANZIGEN
Fetikano!,OVA,Manga,1,False,
6 Lovers,OVA,Manga,0,False,
Hoshi no Kirby,TV,Game,100,False,Studio Sign
Mahou Shoujo Lyrical Nanoha StrikerS,TV,Original,26,False,Seven Arcs
JoJo no Kimyou na Bouken: Phantom Blood,Movie,Manga,1,False,APPP
Baccano!,TV,Light novel,13,False,Brain&#039;s Base
Ame to Shoujo to Watashi no Tegami,ONA,Unknown,1,False,
Galaxy Angel 4,TV,Game,13,False,Madhouse
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,OVA,Light novel,1,False,Asread
Kamisama Dolls,TV,Manga,13,False,Brain&#039;s Base
Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,Special,Game,1,False,ufotable
Yuki no Taiyou Pilot,Special,Manga,1,False,Studio Ghibli
Sekishoku Elegy,OVA,Unknown,1,False,Toei Animation
Rockman.EXE Beast+,TV,Unknown,26,False,Xebec
Yukai na Animal Bus 2nd Season,TV,Original,12,False,TMS Entertainment
Detarame Rock & Roll Theory,Music,Original,1,False,
Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson,OVA,Visual novel,1,False,
Acchi Kocchi (TV),TV,4-koma manga,12,False,AIC
Shousei Shikisai Gensou,Movie,Unknown,1,False,
Utawarerumono Recaps,Special,Unknown,2,False,OLM
RD Sennou Chousashitsu,TV,Original,26,False,Production I.G
Jack to Mame no Ki,Movie,Unknown,1,False,
Osomatsu-san Special,Special,Manga,1,False,Studio Pierrot
Channel 5.5 3rd Season Prologue,ONA,Unknown,1,False,DLE
Jutaijima,OVA,Visual novel,2,False,
Ten Little Gall Force,OVA,Original,1,False,Artmic
Neko Machi,OVA,Unknown,1,False,Toei Video
Duel Masters,TV,Manga,26,False,Studio Hibari
Harbor Tale,Movie,Unknown,1,False,
Shokugeki no Souma,TV,Manga,24,False,J.C.Staff
Ukkari Pénélope (2013),TV,Picture book,13,False,
Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,Special,Light novel,1,False,Nomad
Bakemono no Ko,Movie,Original,1,False,Studio Chizu
Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,Movie,Unknown,1,False,
Saru Tarou Jishin ni wa Makenai zo!: Jishin e no Sonae Dai Sakusen,OVA,Unknown,1,False,
Cheburashka,Movie,Book,1,False,
Kujakuou,OVA,Unknown,3,False,
Kokoro ga Sakebitagatterunda.,Movie,Original,1,False,A-1 Pictures
Zegapain ADP,Movie,Original,1,False,
Servamp: Hai ni Mamireta Shoukei - All the world&#039;s a stage,Special,Unknown,1,False,
Sora e,Music,Unknown,1,False,
Glass no Usagi,Movie,Unknown,1,False,
Violence Gekiga Shin David no Hoshi: Inma Densetsu,OVA,Unknown,1,False,
Kiba,TV,Original,51,False,Madhouse
Nekoronde Mite ne.,ONA,Unknown,14,False,
Tegamibachi,TV,Manga,25,False,Studio Pierrot
Shin Hakkenden,TV,Unknown,26,False,
Stratos 4 OVA,OVA,Unknown,2,False,Studio Fantasia
Gold Pencil And Alien Boy,Movie,Unknown,1,False,
Quanzhi Fashi 2nd Season,ONA,Novel,12,False,
One Punch Man: Road to Hero,OVA,Web manga,1,False,Madhouse
Manin Densha,OVA,Visual novel,3,False,
Suisei no Gargantia,TV,Original,13,False,Production I.G
Phantom: Requiem for the Phantom Picture Drama,Special,Visual novel,12,False,
Kobayashi-san Chi no Maid Dragon Specials,Special,Manga,7,False,Kyoto Animation
"Sora no Iro, Mizu no Iro Ero Specials",OVA,Visual novel,2,False,Himajin Planning
Teleclub no Himitsu,OVA,Unknown,2,False,
Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,Special,Manga,2,False,PrimeTime
Psychic Academy,TV,Manga,24,False,E&amp;G Films
InuYasha: Kagami no Naka no Mugenjo,Movie,Manga,1,False,Sunrise
Maple Colors,OVA,Visual novel,2,False,Image House
Million Doll,TV,Web manga,11,False,Asahi Production
Air Master,TV,Manga,27,False,Toei Animation
Denshinbashira Elemi no Koi,Movie,Unknown,1,False,
Touma Kishinden Oni,TV,Game,25,False,J.C.Staff
Yareruko! Densha Ecchi,ONA,Visual novel,2,False,SELFISH
Tsuki no Mine no Ookami,OVA,Original,1,False,
Tenjoubito to Akutobito Saigo no Tatakai,Movie,Original,1,False,Kyoto Animation
Moushin Soloist Life!,Music,Original,1,False,
K-On!: Live House!,Special,4-koma manga,1,False,Kyoto Animation
Precure Super Stars! Movie,Movie,Original,1,False,
Shimajirou to Ehon no Kuni,Movie,Unknown,1,False,TOHO animation
Shin Tenchi Souzou,Movie,Unknown,1,False,
Gokicha!!,ONA,Manga,2,False,WAO World
Ryuusei Sentai Musumet,TV,Unknown,13,False,TNK
Ai Shoujo Pollyanna Story,TV,Novel,51,False,Nippon Animation
Imouto Paradise! 2,OVA,Visual novel,2,False,
The Rapeman,OVA,Unknown,2,False,
Juicy Jungle,Music,Music,1,False,
Hand Soap,Movie,Unknown,1,False,
Chrno Crusade,TV,Manga,24,False,Gonzo
Bonjour♪Koiaji Pâtisserie,ONA,Game,24,False,Silver Link.
One Piece Recap,OVA,Manga,1,False,Toei Animation
F,TV,Unknown,31,False,Studio Deen
Honoo no Alpenrose: Ai no Symphony Ongaku-hen,OVA,Manga,1,False,Tatsunoko Production
Aurora wo Mita Kyouryuu-tachi,Movie,Original,1,False,pH Studio
Nani no Yaku ni Mo Tatanai Karappona Hanashi,ONA,Radio,2,False,
Bab Mook Ja,Movie,Original,1,False,
Jakusansei Million Arthur,ONA,Web manga,0,True,Gathering
Kubbe Gachapin Mukku,ONA,Picture book,1,False,
Mayuge Dance,Music,Original,1,False,Oddjob
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,OVA,Original,0,True,Xebec
Gokiburi Taisou,ONA,Original,1,False,
Ibara no Ou,Movie,Manga,1,False,Sunrise
Jidou Bungaku Library,OVA,Unknown,6,False,
Fuwa Aoyun Manyouji,TV,Unknown,100,False,
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,Movie,Game,1,False,Toei Animation
Eiyuu ni wa Narenai Bokura Dakara,Special,Original,5,False,
Nanocore 2016 Xinnian Tebie Ban,Music,Unknown,1,False,
Momokuri,ONA,Web manga,26,False,Satelight
San Mao Liu Lang Ji,TV,Unknown,25,False,
Bakuretsu Tenshi,TV,Original,24,False,Gonzo
Aozora,Music,Original,1,False,
Wagahai wa Inu de Aru: Don Matsugorou no Seikatsu,Special,Unknown,1,False,
Utawarerumono OVA,OVA,Visual novel,3,False,Chaos Project
Wild Arms: Twilight Venom,TV,Game,22,False,Bee Train
Seiren,TV,Original,12,False,Studio Gokumi
Free! Movie 1: Timeless Medley - Kizuna,Movie,Original,1,False,Kyoto Animation
Ikkyuu-san (1978),TV,Unknown,26,False,Nippon Animation
Kumo no You ni Kaze no You ni,Movie,Novel,1,False,Studio Pierrot
Joshikousei: Girl&#039;s High,TV,Manga,12,False,Arms
Shinreigari: Ghost Hound,TV,Original,22,False,Production I.G
Basilisk: Kouga Ninpou Chou,TV,Manga,24,False,Gonzo
Yakusai Kochou,OVA,Manga,1,False,
Mon-Soni! D&#039;Artagnan no Idol Sengen,ONA,Game,5,False,LIDENFILMS
Qingwa Wangguo,Movie,Original,1,False,
Nobunaga no Shinobi,TV,4-koma manga,26,False,TMS Entertainment
Violence Jack: Hell&#039;s Wind-hen,OVA,Unknown,1,False,
Granblue Fantasy The Animation: Kabocha no Lantern,Special,Game,1,False,A-1 Pictures
Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,Movie,Unknown,1,False,
Miss Monochrome: The Animation,TV,Original,13,False,SANZIGEN
Viper GTS,OVA,Visual novel,3,False,Studio G-1Neo
Tonkatsu DJ Agetarou,TV,Manga,12,False,Studio Deen
Gakuen 2,OVA,Visual novel,2,False,Suzuki Mirano
Code:Breaker OVA,OVA,Manga,3,False,Kinema Citrus
Kero Kero Keroppi no Aladdin to Mahou no Lamp,OVA,Unknown,1,False,
Oshiri Tantei: Puputto Fumutto Kaiketsu Dance,Music,Picture book,1,False,Toei Animation
Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,OVA,Unknown,1,False,Toei Animation
Hanakappa Movie: Hana-sake! Pakkaan Chou no Kuni no Daibouken,Movie,Unknown,1,False,
Pom Pom Purin no Kitakaze to Taiyou,OVA,Unknown,1,False,
Houkago no Pleiades: Manner Movie,Movie,Original,1,False,Gainax
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,OVA,Unknown,1,False,
Tenshi na Konamaiki Specials,Special,Unknown,13,False,TMS Entertainment
Cosmo Warrior Zero,TV,Game,13,False,Vega Entertainment
Gintama.: Porori-hen,TV,Manga,13,False,Bandai Namco Pictures
Mado,Movie,Original,1,False,
Herlock Saga: Nibelung no Yubiwa,OVA,Unknown,6,False,Studio Z5
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),TV,Unknown,12,False,
Monster Farm 5: Circus Caravan OVA - Kessei!! Orcoro Circus,OVA,Game,1,False,
Yanbo Ninbo Tonbo,TV,Unknown,39,False,
Chain Chronicle: Short Animation,OVA,Game,8,False,
Divergence Eve,TV,Original,13,False,Radix
Uchuu Hikoushi no Uta,Music,Unknown,1,False,
Chuukan Kanriroku Tonegawa,TV,Manga,0,False,Madhouse
Panda Kopanda,Movie,Original,2,False,Tokyo Movie Shinsha
Takarajima (Movie),Movie,Novel,1,False,Madhouse
Kirameki no Kyoudai: Sex Crime,OVA,Unknown,1,False,
Offside Girl,OVA,Manga,2,False,
Dragon Collection,TV,Unknown,51,False,OLM
